rel	train	cq-tp	cq-fp	cq-total	cq-prec	cq-recall	cq-f1	cq-mae	tp	fp	total	prec	recall	f1	pred=num	pred>num	pred<num	num	missing	increase
P527_Q7725310	0	15	10	100	0.6000	0.1500	0.2400	4.7117	47	138	407	0.2541	0.1155	0.1588	15	0	10	659	0	0.00%
P527_Q7725310_relaxed	0	25	0	100	1.0000	0.2500	0.4000	4.7117	47	138	407	0.2541	0.1155	0.1588	15	0	10	659	0	0.00%
P150	0	41	13	192	0.7593	0.2135	0.3333	14.6900	58	14	70	0.8056	0.8286	0.8169	41	1	12	3417	6	0.18%
P150_relaxed	0	53	1	192	0.9815	0.2760	0.4309	14.6900	58	14	70	0.8056	0.8286	0.8169	41	1	12	3417	6	0.18%
P527_Q2088357	0	10	8	100	0.5556	0.1000	0.1695	2.5495	32	18	68	0.6400	0.4706	0.5424	10	0	8	493	0	0.00%
P527_Q2088357_relaxed	0	18	0	100	1.0000	0.1800	0.3051	2.5495	32	18	68	0.6400	0.4706	0.5424	10	0	8	493	0	0.00%
P40	0	40	101	200	0.2837	0.2000	0.2346	4.1300	111	936	162	0.1060	0.6852	0.1836	40	57	44	727	152	20.91%
P40_relaxed	0	84	57	200	0.5957	0.4200	0.4927	4.1300	111	936	162	0.1060	0.6852	0.1836	40	57	44	727	152	20.91%
P26	0	23	34	197	0.4035	0.1168	0.1811	0.8377	28	67	57	0.2947	0.4912	0.3684	23	29	5	281	31	11.03%
P26_relaxed	0	28	29	197	0.4912	0.1421	0.2205	0.8377	28	67	57	0.2947	0.4912	0.3684	23	29	5	281	31	11.03%
